Benchmark                 RetTimeMemOff    RetTimeMemOn    RetTimeRegOff    RetTimeRegOn      RetSize  AreaTimeMemOff    AreaTimeMemOn    AreaTimeRegOff    AreaTimeRegOn      AreaSize  CompressTimeMemOff    CompressTimeMemOn    CompressTimeRegOff    CompressTimeRegOn      CompressSize
stb_perlin                +0.007%          +0.010%         +0.002%          +0.008%               388  +0.008%           +0.012%          +0.003%           +0.008%                 400  +0.008%               +0.016%              +0.005%               +0.009%                         100
tarai                     +0.005%          +0.010%         -0.001%          +0.015%               252  +0.009%           +0.010%          -0.001%           +0.004%                 360  +0.013%               +0.024%              -0.004%               +0.004%                          88
4                         +0.000%          +0.000%         +0.000%          +0.000%               168  +0.000%           +0.000%          +0.000%           +0.000%                 180  +0.000%               +0.000%              +0.028%               +0.028%                          48
whetstone                 +0.006%          +0.015%         +0.003%          +0.012%               404  +0.007%           +0.016%          +0.003%           +0.013%                 416  +0.013%               +0.021%              +0.006%               +0.015%                         104
ud                        +0.004%          +0.009%         +0.002%          +0.007%               660  +0.004%           +0.009%          +0.002%           +0.008%                 672  +0.008%               +0.012%              +0.003%               +0.009%                         168
ARIA-CBC-128              +0.006%          +0.013%         +0.002%          +0.011%              4052  +0.006%           +0.014%          +0.003%           +0.012%                4072  +0.012%               +0.017%              +0.005%               +0.013%                        1144
ctl-string                +0.005%          +0.012%         +0.002%          +0.009%               292  +0.005%           +0.013%          +0.002%           +0.009%                 304  +0.009%               +0.016%              +0.004%               +0.011%                          84
bubblesort                +0.005%          +0.011%         +0.002%          +0.008%               268  +0.005%           +0.011%          +0.002%           +0.009%                 280  +0.009%               +0.015%              +0.004%               +0.010%                          76
nettle-sha256             +0.009%          +0.021%         +0.004%          +0.017%               548  +0.010%           +0.023%          +0.005%           +0.019%                 560  +0.018%               +0.031%              +0.008%               +0.022%                         140
fir                       +0.005%          +0.011%         +0.002%          +0.008%              3156  +0.005%           +0.011%          +0.002%           +0.009%                3168  +0.009%               +0.015%              +0.004%               +0.010%                         792
nsichneu                  +0.002%          +0.006%         +0.001%          +0.003%               236  +0.002%           +0.006%          +0.001%           +0.005%                 248  +0.005%               +0.008%              +0.001%               +0.006%                          68
ndes                      +0.007%          +0.016%         +0.003%          +0.013%               412  +0.007%           +0.017%          +0.004%           +0.014%                 424  +0.013%               +0.023%              +0.006%               +0.016%                         112
sglib-arrayquicksort      +0.002%          +0.005%         +0.000%          +0.004%               756  +0.003%           +0.006%          +0.001%           +0.004%                 768  +0.005%               +0.008%              +0.001%               +0.005%                         192
st                        +0.007%          +0.016%         +0.003%          +0.013%               428  +0.007%           +0.017%          +0.004%           +0.013%                 440  +0.013%               +0.022%              +0.006%               +0.016%                         116
AES-CFB128-256            +0.010%          +0.023%         +0.005%          +0.019%              4052  +0.011%           +0.025%          +0.006%           +0.021%                4072  +0.019%               +0.033%              +0.009%               +0.024%                        1144
ctl-vector                +0.004%          +0.011%         +0.001%          +0.008%               340  +0.005%           +0.012%          +0.002%           +0.008%                 352  +0.009%               +0.016%              +0.003%               +0.010%                          88
newlib-mod                +0.003%          +0.008%         +0.003%          +0.016%               276  +0.016%           +0.016%          +0.011%           +0.025%                 288  +0.016%               +0.025%              +0.016%               +0.028%                          72
compress                  +0.004%          +0.011%         +0.003%          +0.011%               300  +0.005%           +0.013%          +0.003%           +0.009%                 312  +0.010%               +0.017%              +0.004%               +0.012%                          84
nettle-cast128            +0.005%          +0.011%         +0.001%          +0.008%               324  +0.005%           +0.012%          +0.002%           +0.009%                 336  +0.009%               +0.015%              +0.004%               +0.010%                          84
picojpeg                  +0.039%          +0.091%         +0.020%          +0.077%               708  +0.043%           +0.099%          +0.026%           +0.082%                 640  +0.076%               +0.129%              +0.037%               +0.095%                         160
mergesort                 +0.013%          +0.028%         +0.006%          +0.024%              1476  +0.013%           +0.031%          +0.008%           +0.025%                1488  +0.024%               +0.040%              +0.011%               +0.029%                         372
SHA-1                     +0.313%          +0.744%         +0.167%          +0.627%              4052  +0.349%           +0.806%          +0.218%           +0.662%                4072  +0.621%               +1.049%              +0.305%               +0.793%                        1144
